time,user_id,action,device,location,data_rate
2024-01-01 00:00:00,USER_3233,login,mobile,US,1400.1420049836067
2024-01-01 00:01:00,USER_5608,edit,mobile,EU,236.48590330460863
2024-01-01 00:02:00,USER_8234,view,desktop,US,359.03541223466715
2024-01-01 00:03:00,USER_8972,upload,desktop,AU,285.79436651774756
2024-01-01 00:04:00,USER_7610,upload,mobile,US,340.3045489315124
2024-01-01 00:05:00,USER_1600,download,mobile,US,197.09280271831824
2024-01-01 00:06:00,USER_5284,logout,mobile,US,337.8107755419068
2024-01-01 00:07:00,USER_5483,download,desktop,US,726.9605131133209
2024-01-01 00:08:00,USER_6901,login,mobile,US,283.4450717738294
2024-01-01 00:09:00,USER_7129,login,desktop,EU,197.6669045460237
2024-01-01 00:10:00,USER_2754,upload,mobile,EU,337.9822035750316
2024-01-01 00:11:00,USER_3464,upload,desktop,US,304.1561928705525
2024-01-01 00:12:00,USER_5482,view,tablet,US,253.75275581758345
2024-01-01 00:13:00,USER_8400,login,mobile,ASIA,386.06448270208966
2024-01-01 00:14:00,USER_7806,view,mobile,EU,246.2000103399971
2024-01-01 00:15:00,USER_9643,logout,tablet,ASIA,118.12837005059468
2024-01-01 00:16:00,USER_8396,logout,mobile,EU,330.8181020319091
2024-01-01 00:17:00,USER_8338,logout,desktop,US,194.00407683516303
2024-01-01 00:18:00,USER_6241,upload,mobile,US,248.09942141934943
2024-01-01 00:19:00,USER_8394,login,desktop,US,268.9592056236433
2024-01-01 00:20:00,USER_7437,upload,mobile,ASIA,849.2273454037936
2024-01-01 00:21:00,USER_5695,view,tablet,AU,270.37634483650675
2024-01-01 00:22:00,USER_3588,upload,desktop,EU,215.68308676470664
2024-01-01 00:23:00,USER_2782,upload,desktop,US,309.7429911079828
2024-01-01 00:24:00,USER_6947,view,desktop,US,226.27528465486867
2024-01-01 00:25:00,USER_7594,view,desktop,US,301.80878392692085
2024-01-01 00:26:00,USER_4520,upload,mobile,EU,369.72046225627264
2024-01-01 00:27:00,USER_4218,logout,tablet,US,346.9423662175298
2024-01-01 00:28:00,USER_4757,view,tablet,AU,295.0973584715053
2024-01-01 00:29:00,USER_5016,download,mobile,US,240.6757608948109
2024-01-01 00:30:00,USER_3837,logout,tablet,AU,309.55062695535486
2024-01-01 00:31:00,USER_7000,logout,desktop,ASIA,258.25685253197486
2024-01-01 00:32:00,USER_8034,view,desktop,ASIA,312.06740752209157
2024-01-01 00:33:00,USER_8309,login,mobile,EU,197.08288695282005
2024-01-01 00:34:00,USER_5239,edit,mobile,EU,348.4356633801385
2024-01-01 00:35:00,USER_5428,login,mobile,EU,301.9929937807889
2024-01-01 00:36:00,USER_5150,view,mobile,EU,170.21398613795355
2024-01-01 00:37:00,USER_2446,logout,desktop,EU,378.3636877105636
2024-01-01 00:38:00,USER_7468,upload,mobile,AU,333.97121618526336
2024-01-01 00:39:00,USER_6790,view,mobile,ASIA,292.56042157754587
2024-01-01 00:40:00,USER_5175,upload,tablet,ASIA,256.22373817790003
2024-01-01 00:41:00,USER_6080,upload,mobile,ASIA,1437.1520383940458
2024-01-01 00:42:00,USER_1864,login,mobile,US,286.2318125208173
2024-01-01 00:43:00,USER_7860,login,mobile,US,370.101877976898
2024-01-01 00:44:00,USER_9663,logout,mobile,EU,324.0493898241171
2024-01-01 00:45:00,USER_7217,download,desktop,EU,324.47982763498584
2024-01-01 00:46:00,USER_6672,login,desktop,ASIA,335.6715676180777
2024-01-01 00:47:00,USER_2502,login,desktop,EU,244.82238369374656
2024-01-01 00:48:00,USER_5684,upload,mobile,EU,238.67182536758264
2024-01-01 00:49:00,USER_2410,download,desktop,EU,236.59743309820652
2024-01-01 00:50:00,USER_4770,view,mobile,US,362.84981489255944
2024-01-01 00:51:00,USER_5659,login,mobile,EU,243.25670474889165
2024-01-01 00:52:00,USER_5001,login,mobile,ASIA,250.7304175082798
2024-01-01 00:53:00,USER_4483,edit,mobile,US,332.25102761838855
2024-01-01 00:54:00,USER_5562,logout,mobile,EU,284.87705252190864
2024-01-01 00:55:00,USER_1598,view,mobile,EU,277.2123454744827
2024-01-01 00:56:00,USER_4041,view,tablet,US,272.0067018703848
2024-01-01 00:57:00,USER_9160,view,mobile,US,160.46209932951913
2024-01-01 00:58:00,USER_7391,login,mobile,AU,241.9871084421589
2024-01-01 00:59:00,USER_8287,view,mobile,US,370.8937882129255
